name,school,level,cast_time,distance,target,duration,save,resist,component,area,effect,description
"Сторожевая печать, высшая",преграждение,жрец 6,,,,,,,,,,"<p>Это заклинание работает так же, как сторожевая печать, но взрывающаяся версия наносит до 10d8 урона, а вложенное заклинание может быть до 6 круга включительно.</p>
<p>Чтение магических текстов позволяет вам распознать высшую сторожевую печать, прибегнув к проверке Колдовства со СЛ 16.</p>
<p>Реагент: вы чертите эту печать ладаном и посыпаете алмазным порошком стоимостью не менее 400 зм.</p>"
Сторожевой дуб,превращение,друид 6,10 минут,касание,одно дерево,1 день / 1 УЗ (П),нет,нет,"С, Ж",,,"<p>Это заклинание превращает неповрежденный дуб большого размера в охранника. Вы можете поддерживать только одно заклинание сторожевой дуб единовременно; пока оно работает, вы не можете применить еще одно. При сотворении заклинания вы должны выбрать слова для активации (максимум одно слово за УЗ); если произнести эту фразу, дуб тут же превращается в древня.</p>
<p>Если рассеять заклинание, дерево немедленно пускает корни там, где остановилось. Если вы сами прекращаете действие заклинания, дерево старается вернуться на то место, где росло раньше.</p>"
Страх,"некромантия [ужас, разум]","бард 2, чародей / волшебник 2",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),"одно живое существо за 3 УЗ, все в пределах 30 футов друг от друга",1 раунд / 1 УЗ или 1 раунд; см. текст заклинания устрашение,Воли ослабляет,да,"С, Ж, Р (кость нежити)",,,"<p>Это заклинание работает так же, как устрашение, но оно делает напуганными всех существ с 5 КЗ или менее.</p>"
Стук,превращение,чародей / волшебник 2,1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),"одна дверь, коробка или сундук объемом до 10 кв. футов / 1 УЗ",мгновенное; см. текст,нет,нет,С,,,"<p>Стук открывает закрытые, запертые или заклинившие двери, включая те, на которые действуют заклинания волшебный засов или мистический замок. Творя это заклинание, пройдите проверку УЗ со СЛ, равной СЛ замка, но с модификатором +10 к проверке. При успехе стук открывает до двух запирающих устройств или заклинаний. Этим заклинанием можно открывать потайные двери, замки-головоломки и сундуки, ослаблять сварочные швы, открепляя цепи, если они что-либо запирают. Если это заклинание применяется к мистическому замку, то не снимает его, а только отменяет его действие на 10 минут. В остальных случаях дверь остается отпертой. Стук не поднимает опускные решетки и подобные преграды, не действует на веревки и лианы. Каждое применение стука может убрать не более двух препятствующих открыванию факторов.</p>"
Ступор,очарование (принуждение) [разум],"бард 0, чародей / волшебник 0",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),один гуманоид с 4 КЗ или меньше,1 раунд,Воли отменяет,да,"С, Ж, Р (щепотка шерсти)",,,"<p>Это заклинание затуманивает разум гуманоида, имеющего 4 или меньше КЗ, не позволяя ему предпринимать какие-либо действия. Это заклинание никак не действует на гуманоидов с 5 и более КЗ. Персонаж в ступоре не считается находящимся в шоке, и атакующие его не получают особых преимуществ. После пребывания в ступоре существо становится невосприимчивым к этому заклинанию на одну минуту.</p>"
Ступор (чудовище),очарование (принуждение) [разум],"бард 2, чародей / волшебник 2",,средняя (100 футов + 10 футов / 1 УЗ),одно живое существо с 6 КЗ или меньше,,,,,,,"<p>Это заклинание работает так же, как ступор, но действует на существо любого типа. Существа с 7 и более КЗ к нему невосприимчивы.</p>"
Сфера невидимости,иллюзия (морок),"бард 3, чародей / волшебник 3",,,,,,,"С, Ж, Р",эманация вокруг существа радиусом 10 футов,,"<p>Это заклинание работает так же, как невидимость, но делает невидимыми всех существ в радиусе 10 футов от существа, на которое наложено; эффект перемещается вместе с последним. Невидимки при этом нормально видят друг друга. Любое существо, покинувшее область действия, становится видимым, но входящие внутрь после сотворения заклинания невидимыми не становятся. Если любое из существ, кроме того, которое является центром эманации, на кого-то нападает, оно само перестает быть невидимым; если нападает тот, кто является центром эманации, заклинание прекращает действовать полностью.</p>"
Сфера неуязвимости,преграждение,чародей / волшебник 6,,,,,,,,,,"<p>Это заклинание работает так же, как низшая сфера неуязвимости, но также защищает от заклинаний и псевдозаклинаний 4 круга.</p>"
"Сфера неуязвимости, низшая",преграждение,чародей / волшебник 4,1 основное действие,10 футов,,1 раунд / 1 УЗ (П),нет,нет,"С, Ж, Р (стеклянная или хрустальная бусина)",эманация радиусом 10 футов с центром на вас,,"<p>Вас окружает неподвижная слабо светящаяся магическая сфера, препятствующая воздействию всех эффектов заклинаний 3 круга и ниже. Область любых таких заклинаний не включает область действия низшей сферы неуязвимости, и они не влияют на все, что находится внутри сферы. Сфера служит препятствием для заклинаний, псевдозаклинаний и соответствующих свойств волшебных предметов, но внутри нее можно пользоваться магией беспрепятственно. Сфера не действует на заклинания 4 круга и выше, равно как и на заклинания, которые уже действовали, когда ее создали. Рассеивание магии может ее снять. Вы можете заходить в сферу и выходить из нее без ограничений.</p>
<p>Сфера не разрушает входящие в нее заклинания, а только подавляет их. Если у заклинания, направленного внутрь сферы, может быть разный круг в зависимости от класса заклинателя, определяйте круг по классу того, кто это заклинание сотворил.</p>"
Сфера прозрения,разрушение,жрец 3,1 основное действие,на себя,вы сами,1 мин. / 1 УЗ (П),,,"С, Ж",,,<p> Вы окружаете себя сферой магии радиусом 5 футов за единицу вашего УЗ. Все невидимое в этой области становится видимым.</p>
Схлопывание,разрушение,жрец 9,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),одно материальное существо / раунд,концентрация (до 1 раунда за 2 УЗ),Стойкости отменяет,да,"С, Ж",,,"<p>Это заклинание вызывает в теле жертвы разрушительный резонанс. Каждый раунд, включая первый, вы концентрируетесь и заставляете тело одного существа схлопываться, нанося ему 10 пунктов урона за УЗ. Если вы теряете концентрацию, заклинание немедленно прекращает действовать, но весь уже нанесенный урон остается. Вы не можете направить схлопывание на одно и то же существо повторно, если не сотворите заклинание заново. Схлопывание не действует на газообразных или бестелесных существ.</p>"
Тайная страница,превращение,"бард 3, чародей / волшебник 3",10 минут,касание,одна страница размером до 3 кв. футов,постоянное,нет,нет,"С, Ж, Р (толченые чешуйки сельди и флакон с эссенцией блуждающего огонька)",,,"<p>Тайная страница меняет видимое содержание текста на совершенно иное. Текст изначального заклинания можно заменить на текст любого другого известного вам заклинания того же или более низкого круга. Этим заклинанием нельзя поместить другие чары на волшебный свиток, но можно скрыть свиток. На тайную страницу можно добавить взрывчатые руны или змеиный знак.</p>
<p>Понимание языков само по себе не раскрывает содержания тайной страницы. Вы можете ознакомиться с ним, произнеся ключевое слово, прочитать реальное содержимое страницы и в любой момент снова сделать его тайной страницей. Вы также можете снять это заклинание, дважды повторив ключевое слово. Обнаружение магии позволяет увидеть тусклую магическую ауру на странице, но не помогает ознакомиться с содержанием. Истинное зрение открывает наличие скрытого текста, но не позволяет его прочитать, если только не используется совместно с заклинанием понимание языков. Тайную страницу можно рассеять, а скрытый под ней текст —уничтожить с помощью заклинания стирание.</p>"
Тайновидение,прорицание (тайновидение),"бард 3, жрец 5, друид 4, чародей / волшебник 4",1 час,см. текст,,1 мин. / 1 УЗ,Воли отменяет,да,"С, Ж, Р / СФ (лужа воды), Ф (серебряное зеркало стоимостью 1000 зм)",,магический сенсор,"<p>Вы можете наблюдать за существом с любого расстояния. Если оно успешно проходит испытание Воли, заклинание не срабатывает; СЛ испытания зависит от того, что вы о существе знаете и есть ли у вас связанные с ним предметы. Кроме того, находящееся в другом мире существо получает +5 к испытанию.</p>
<p>Знакомство Модификатор к испытанию Воли </p>
<p>Нет*+10 </p>
<p>Из вторых рук (только слышали) +5 </p>
<p>Личное (встречались) +0 </p>
<p>Близкое (хорошо знакомы) –5 </p>
<p>* Чтобы наложить это заклинание на совсем незнакомое существо, необходимо иметь связанный с ним предмет (см. ниже).</p>
<p>Предмет Модификатор к испытанию Воли </p>
<p>Изображение –2 </p>
<p>Личная вещь или предмет одежды –4 </p>
<p>Часть тела, локон, кусок ногтя и т. п. –10 </p>
<p>Если существо проваливает испытание, вы видите и слышите его самого и все, что творится примерно в радиусе 5 футов от него. Если существо движется, то сенсор следует за ним со скоростью до 150 футов. Как и в случае других заклинаний тайновидения, сенсор пользуется вашим зрением, включая все его магические усиления. Кроме того, у заклинателя сквозь сенсор в 5% случаев могут сработать следующие чары: обнаружение магии, определение мировоззрения (хаос), определение мировоззрения (зло), определение мировоззрения (добро), определение мировоззрения (принципиальность) и сообщение.</p>
<p>Если существо успешно проходит испытание, вы не можете снова пытаться отыскать его тайновидением в течение 24 часов.</p>"
"Тайновидение, высшее",прорицание (тайновидение),"бард 6, жрец 7, друид 7, чародей / волшебник 7",1 основное действие,,,1 час / 1 УЗ,,,"С, Ж",,,"<p>Это заклинание работает так же, как тайновидение за исключением указанных выше различий. Кроме того, у заклинателя гарантированно работают сквозь сенсор следующие чары: обнаружение магии, определение мировоззрения (хаос), определение мировоззрения (зло), определение мировоззрения (добро), определение мировоззрения (принципиальность), полиглот, сообщение и чтение магических текстов.</p>"
Телекинез,превращение,чародей / волшебник 5,1 основное действие,дальняя (400 футов + 40 футов / 1 УЗ),см. текст,концентрация (до 1 раунда / 1 УЗ) или мгновенное; см. текст,Воли отменяет (предмет) или нет; см. текст,да (предмет); см. текст,"С, Ж",,,"<p>Вы перемещаете предметы или существ, концентрируясь на них.</p>
<p>В зависимости от выбранной версии, этим заклинанием можно совершать плавные перемещения, боевые маневры или один резкий бросок.</p>
<p><em>Плавное перемещение:</em> С помощью этой версии вы передвигаете объект весом не более 25 фунтов за единицу УЗ (максимум 375 фунтов на 15 уровне) на 20 футов в раунд. Если вещь находится у существа, то оно может пройти испытание Воли или использовать УкМ, чтобы отменить эффект. Эта версия заклинания работает 1 раунд за единицу УЗ, но прекращает действовать, если вы по любым причинам перестаете концентрироваться. При этом предмет останавливается или падает. Вы можете двигать объект вертикально, горизонтально или в обоих направлениях, но не дальше пределов дистанции заклинания. Вы способны манипулировать предметом, как если бы он был у вас в руке. Например, вы можете потянуть за рычаг или за веревку, повернуть ключ и т. д., пока для совершения действия достаточно усилия, не превышающего ограничения заклинания по весу.</p>
<p>Можно развязывать простые узлы, хотя подобные тонкие операции требуют проверки Интеллекта со CЛ 15.</p>
<p><em>Боевые маневры</em>: Вы раз в раунд применяете телекинез для одного из следующих маневров: таран, разоружение, борьба (включая обездвиживание) или сбивание с ног. Эти маневры не провоцируют внеочередных атак, используют ваш УЗ вместо МБМ и добавляют к проверке модификатор вашего Интеллекта (если вы волшебник) или Харизмы (если чародей) вместо Силы или Ловкости. Жертва при этом не проходит испытаний, но УкМ может ей помочь. Эта версия длится 1 раунд за единицу УЗ, но прекращает действовать, если вы перестаете концентрироваться.</p>
<p><em>Резкий бросок:</em> Всю энергию этого заклинания можно потратить в один раунд, швырнув по одному предмету или существу за единицу УЗ (максимум 15). Все они должны находиться в пределах дистанции и не далее 10 футов друг от друга; швырять такой предмет можно в любую цель в радиусе 10 футов за единицу УЗ от него. Всего вы можете швырнуть до 25 фунтов за единицу УЗ (максимум 375 фунтов на 15 уровне).</p>
<p>Чтобы во что-то ими попасть, вам надо успешно атаковать со своим БМА + модификатор Интеллекта (если вы волшебник) или Харизмы (если чародей). Оружие при этом наносит свой обычный урон (без модификаторов Силы; стрелы наносят урон, как кинжалы их размера). Другие предметы наносят разный урон: от 1 пункта урона за 25 фунтов веса для сравнительно безобидных вещей до 1d6 урона за 25 фунтов (для твердых, плотных предметов). Не попавшие в существо предметы приземляются на клетке рядом с жертвой.</p>
<p>Достаточно легких существ таким образом можно кидать, но они проходят испытания Воли (и применяют УкМ), чтобы избежать эффекта. То же касается обладателей предметов, которые вы хотите отобрать и швырнуть. Если существо таким образом ударили о твердую поверхность, оно получает урон, как от падения на 10 футов (1d6).</p>"
Телепатическая связь,прорицание,чародей / волшебник 5,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"вы и еще по одному добровольцу за 3 УЗ, все в пределах 30 футов друг от друга",10 мин. / 1 УЗ (П),нет,нет,"С, Ж, Р (две яичных скорлупы от яиц двух разных существ)",,,"<p>Вы создаете телепатическую связь между собой и другими существами, которые этого желают; каждый из них должен иметь Интеллект 3 или выше. Связь соединяет всех со всеми, и с ее помощью существа могут общаться, невзирая на язык. Вы можете не включать себя в эту группу, однако это решение вы принимаете в момент сотворения заклинания. Связь не дает никаких особых способов влияния друг на друга. После формирования она действует на любом расстоянии, но не между планами.</p>
<p>Телепатическую связь можно сделать постоянной при помощи заклинания постоянство, но она при этом соединяет только двух существ за каждое применение постоянства.</p>"
Телепортация,воплощение (телепортация),чародей / волшебник 5,1 основное действие,на себя и касание,"вы сами, а также предметы или существа-добровольцы",мгновенное,нет и испытание Воли отменяет (предмет),нет и да (предмет),С,,,"<p>Это заклинание позволяет вам мгновенно переправиться в желаемое место, которое может находиться на расстоянии до 100 миль за единицу УЗ; путешествовать между планами таким образом нельзя. Вы можете брать с собой предметы суммарным весом до вашей максимальной нагрузки; вы также можете взять в качестве спутников одно существо среднего размера или меньше (с вещами весом до их максимальной нагрузки) за 3 УЗ. Крупное существо считается за два средних, огромное — за четыре средних и т. д. Все телепортирующиеся должны касаться друг друга (например, держаться цепочкой), и хотя бы один из них — касаться вас. Как и в случае других заклинаний с дистанцией ≪на себя≫, вы не проходите испытания и не применяете УкМ. Предметы могут проходить испытания, только если находятся у других существ.</p>
<p>Вам нужно ясно представлять, куда именно вы телепортируетесь. Чем точнее образ у вас в голове, тем надежнее работает телепортация. Некоторые места (например, с особой магией) могут затруднять такое перемещение или делать его невозможным.</p>
<p>При телепортации бросьте d% и определите результат по таблице ниже. Пользуйтесь следующими определениями для трактовки данных из таблицы.</p>
<p>Знание о месте: ≪хорошо знакомым≫ является место, где вы бывали часто и чувствуете себя как дома. ≪Тщательно изученным≫ является место, в котором вы бывали часто или которое находится у вас перед глазами. ≪Случалось бывать≫ — тут вы бывали больше раза, но изучили не слишком хорошо. ≪Однажды виденное≫ место — место, которое вы видели один раз, в том числе при помощи чар тайновидения. ≪Не существует≫ — место, которого нет на свете потому, что оно было уничтожено или кардинально изменилось с тех пор, как вы его видели. При телепортации в несуществующее место бросьте 1d20+80 вместо d% и сверьтесь с таблицей: при этом у вас нет возможности оказаться ≪на месте≫ или даже промахнуться ≪мимо≫.</p>
<p>На месте: Вы появляетесь точно там, где планировали.</p>
<p>Мимо: Вы благополучно появляетесь на случайном расстоянии от того места, в котором собирались оказаться. Расстояние составляет d% от того, которое вы должны были проскочить при телепортации; направление определяется случайным образом.</p>
<p>Похожее место: Вы оказываетесь в месте, визуально или тематически похожем на место назначения. Обычно это ближайшее подходящее место в пределах дистанции. Если в пределах дистанции такого места нет, заклинание просто не срабатывает.</p>
<p>Срыв: Телепортация прерывается из-за помех. Вы со всеми спутниками получаете по 1d10 урона, после чего бросаете 1d20+80 и по таблице определяете, что случилось с вами дальше.</p>
<p>Каждый раз, когда случается ≪срыв≫, ваши персонажи получают дополнительный урон, после чего бросают 1d20+80 еще раз.</p>
<p>Знание о месте На месте Мимо Похожее место Срыв </p>
<p>Хорошо знакомо 01–97 98–99 100 — </p>
<p>Тщательно изучено 01–94 95–97 98–99 100 </p>
<p>Случалось бывать 01–88 89–94 95–98 99–100 </p>
<p>Однажды видели 01–76 77–88 89–96 97–100 </p>
<p>Не существует — — 81–92 93–100 </p>"
"Телепортация, высшая",воплощение (телепортация),чародей / волшебник 7,,,,,,,,,,"<p>Это заклинание работает так же, как телепортация, но у него нет ограничений по дистанции и нет вероятности попадания мимо цели. Вы также не обязаны быть знакомы с местом назначения, но в этом случае вам нужно хотя бы его внятное описание. Если вы пытаетесь телепортироваться, пользуясь неверной или недостаточной информацией, вы исчезаете и снова появляетесь на том же месте. Перемещение между планами таким образом невозможно.</p>"
Телепортация предмета,воплощение (телепортация),чародей / волшебник 7,,касание,один предмет весом до 50 фунтов / 1 УЗ и объемом до 3 куб. футов / 1 УЗ,,Воли отменяет (предмет),да (предмет),,,,"<p>Это заклинание работает так же, как телепортация, но перемещает предмет, а не вас. Существ и магические эффекты телепортировать таким образом нельзя. При желании предмет вместо этого можно отправить на Эфирный план. В этом случае место, с которого он был туда отправлен, остается слабо магическим, пока предмет не вернут назад. Удачное применение рассеивания магии на эту точку возвращает предмет на Материальный план.</p>"
Телепортирующий круг,воплощение (телепортация),чародей / волшебник 9,10 минут,0 футов,,10 мин. / 1 УЗ (П),нет,да,"С, Р (янтарная пыль стоимостью 1000 зм)",,"круг радиусом 5 футов, телепортирующий всех, кто его активирует","<p>Вы насыпаете на полу или иной горизонтальной поверхности круг из янтарного порошка; этот круг телепортирует всех, кто в него зайдет, как заклинание высшая телепортация. Выбрав место назначения, вы не можете его впоследствии поменять. Заклинание не срабатывает, если вы пытаетесь настроить круг таким образом, чтобы он телепортировал существ в твердое тело, в незнакомое вам место (если у вас нет хотя бы внятного его описания) или на другой план.</p>
<p>Сам круг незаметен; если вы хотите, чтобы в него кто-то не вступил случайно, вам надо как-то обозначить его границы.</p>
<p>Телепортирующий круг можно сделать постоянным с помощью заклинания постоянство.</p>
<p>Выведенный из строя постоянный телепортирующий круг не работает 10 минут, затем снова включается.</p>
<p>Примечание: Магические ловушки вроде телепортирующего круга трудно обнаруживать и обезвреживать. Только персонаж со способностью поиск ловушек может использовать Внимание для обнаружения этого заклинания и Механику для его обезвреживания. СЛ обеих задач равна 25 + круг заклинания, что дает СЛ 34 для телепортирующего круга.</p>"
Теневое воплощение,иллюзия (тень),"бард 4, чародей / волшебник 4",1 основное действие,см. текст,,см. текст,"Воли разоблачает (при взаимодействии); с вариантами, см. текст",да; см. текст,"С, Ж",,см. текст,"<p>Вы берете с Теневого плана материал, чтобы сделать псевдореальную иллюзию одного или нескольких существ, предметов или сил. Теневое воплощение может воспроизвести любое заклинание воплощения (с аспектом призыва или созидания) из списка чародея / волшебника до 3 круга включительно. Теневое воплощение по силе соответствует лишь одной пятой (20%) реального аналога, но те, кто в него верят, попадают под действие всех эффектов, как если бы это было настоящее заклинание. Любой, кто взаимодействует с заклинанием, может пройти испытание Воли, чтобы понять его истинную природу. Наносящие урон заклинания работают как обычно, если только их цели не пройдут испытание Воли. Любое разоблачившее иллюзию существо получает только 1/5 (20%) урона. Если заклинание производит какой-то иной эффект, кроме урона, он срабатывает лишь в 20% случаев. Вне зависимости от результата испытания, существо также имеет право пройти любые испытания, которые предполагает воспроизводимое заклинание, но СЛ их соответствует кругу теневого воплощения (4), а не кругу настоящего заклинания. Кроме того, любые созданные теневым воплощением эффекты позволяют применять УкМ, даже если обычно воспроизводимое заклинание этого не допускает.</p>
<p>Теневые предметы или вещества действуют как обычно для всех, кто не разоблачил их; для разоблачивших они срабатывают лишь в 20% случаев.</p>
<p>Теневое существо имеет от ПЗ существа соответствующего вида (от разоблачения это не зависит). Оно наносит обычный урон, имеет все обычные способности и уязвимости. Тем, кто их разоблачил, такие существа наносят всего (20%) обычного урона, а все их особые средства нападения, которые не наносят прямого урона, действуют лишь в 20% случаев (проходите отдельную проверку для каждого применения и для каждого персонажа). Кроме того, все модификаторы к КБ у теневого существа составляют от обычных. Разоблачившие теневое воплощение видят на его месте невнятную тень. Предметы автоматически проходят испытания Воли против этого заклинания.</p>"
"Теневое воплощение, высшее",иллюзия (тень),чародей / волшебник 7,,,,,,,,,,"<p>Это заклинание работает так же, как теневое воплощение, но оно воспроизводит любое заклинание воплощения (призыва или созидания) из списка чародея или волшебника до 6 круга включительно. Эти иллюзорные воплощения наносят разоблачившим их 3/5 (60%) урона, а прочие их эффекты действуют на разоблачивших в 60% случаев.</p>"
Теневое разрушение,иллюзия (тень),"бард 5, чародей / волшебник 5",1 основное действие,см. текст,,см. текст,Воли разоблачает (при взаимодействии),да,"С, Ж",,см. текст,"<p>Вы собираете энергию Теневого плана, чтобы создать иллюзорную версию заклинания школы разрушения из списка чародея или волшебника до 4 круга включительно. Если заклинание наносит урон, то оно делает это обычным образом, но существо может пройти испытание Воли: разоблачившие иллюзию получают всего (20%) урона.</p>
<p>Если заклинание производит какой-то эффект, кроме урона, то он либо составляет от нормальной силы, либо срабатывает только в 20% случаев. Вне зависимости от результата испытания для разоблачения, существо также имеет право на любые испытания и применение УкМ, которые предполагает воспроизводимое заклинание, но СЛ испытания соответствует кругу теневого разрушения (5).</p>
<p>Не наносящие урон эффекты действуют обычным образом на всех, кроме тех, кто их разоблачил (в этом случае они не работают).</p>
<p>Предметы всегда успешно проходят испытания Воли против этого заклинания.</p>"
"Теневое разрушение, высшее",иллюзия (тень),чародей / волшебник 8,,,,,,,,,,"<p>Это заклинание работает так же, как теневое разрушение, но оно воспроизводит любое заклинание школы разрушения из списка чародея или волшебника до 7 круга включительно. Это заклинание наносит всего (60%) обычного урона тем, кто его разоблачил.</p>"
Терновая стена,воплощение (созидание),друид 5,1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,10 мин. / 1 УЗ (П),нет,нет,"С, Ж",,стена из колючего хвороста размером до (одного куба 10×10×10 футов) / 1 УЗ (Ф),"<p>Заклинание терновая стена создает преграду из очень толстого и плотно спутанного хвороста с острыми колючками длиной в человеческий палец. Любой, кто пытается пробиться сквозь терновую стену, каждый раунд получает колющий урон, равный 25 — КБ существа. Модификаторы Ловкости и уклонения при этом не считаются. Если КБ существа без модификаторов Ловкости и уклонения больше 25, оно не получает урона от стены.</p>
<p>Вы можете сделать стену толщиной в 5 футов вместо 10, формируя ее из блоков 10×10×5 футов, количество которых будет равно вашему УЗ×2. Это не влияет на урон от шипов, но пробиться сквозь такую стену можно гораздо быстрее.</p>
<p>Существа могут проложить себе путь сквозь стену, потратив полный раунд на проверку Силы; за каждые 5 пунктов, на которые их результат превосходит 20, они продвигаются на 5 футов (до максимальной дистанции, равной их базовой наземной скорости). Любая такая попытка наносит им урон, как написано выше. Пойманное в терновую стену существо может перестать шевелиться, при этом оно не будет получать урон. Все, кто был в области действия в момент сотворения заклинания, получают урон, как если бы они пробивались в этот момент сквозь стену.</p>
<p>Чтобы выбраться, им надо или пробиться наружу, или дождаться, когда заклинание перестанет действовать. Существа, имеющие способности пробираться через заросшую местность, могут проходить сквозь терновую стену с нормальной скоростью, не получая урона.</p>
<p>Терновую стену можно медленно прорезать оружием или инструментами. За 10 минут работы в ней прорубается безопасный проход глубиной один фут. Обычный огонь эту стену не повреждает, но магический сжигает за 10 минут.</p>"
